@relation 'Training_Citical Dataset'

@attribute AMWNAMM_type numeric
@attribute AMW_type numeric
@attribute ATFD_type numeric
@attribute CBO_type numeric
@attribute CFNAMM_type numeric
@attribute DIT_type numeric
@attribute FANOUT_type numeric
@attribute LCOM5_type numeric
@attribute LOCNAMM_type numeric
@attribute LOC_type numeric
@attribute NIM_type numeric
@attribute NMO_type numeric
@attribute NOAM_type numeric
@attribute NOA_type numeric
@attribute NOCS_type numeric
@attribute NOC_type numeric
@attribute NOII_type numeric
@attribute NOMNAMM_type numeric
@attribute NOM_type numeric
@attribute NOPA_type numeric
@attribute RFC_type numeric
@attribute TCC_type numeric
@attribute WMCNAMM_type numeric
@attribute WMC_type numeric
@attribute WOC_type numeric
@attribute isStatic_type numeric
@attribute num_final_attributes numeric
@attribute num_final_not_static_attributes numeric
@attribute num_final_static_attributes numeric
@attribute num_not_final_not_static_attributes numeric
@attribute num_static_attributes numeric
@attribute num_static_not_final_attributes numeric
@attribute number_abstract_methods numeric
@attribute number_constructor_DefaultConstructor_methods numeric
@attribute number_constructor_NotDefaultConstructor_methods numeric
@attribute number_final_methods numeric
@attribute number_final_not_static_methods numeric
@attribute number_final_static_methods numeric
@attribute number_not_abstract_not_final_methods numeric
@attribute number_not_final_not_static_methods numeric
@attribute number_not_final_static_methods numeric
@attribute number_package_visibility_attributes numeric
@attribute number_package_visibility_methods numeric
@attribute number_private_visibility_attributes numeric
@attribute number_private_visibility_methods numeric
@attribute number_protected_visibility_attributes numeric
@attribute number_protected_visibility_methods numeric
@attribute number_public_visibility_methods numeric
@attribute number_standard_design_methods numeric
@attribute number_static_methods numeric
@attribute class {1,2,3,4}

@data
8,8,0,2,7,6,5,0,117,117,536,0,0,11,3,0,0,1,1,11,8,1,8,8,0.083333,0,7,0,7,1,10,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2
4.595745,4.38,44,4,8,2,3,0.963673,2022,2044,13,3,3,50,0,0,1,47,50,12,73,0.35,216,219,0.318182,0,14,0,14,36,14,0,0,0,1,0,0,0,50,50,0,0,0,25,33,13,7,10,46,0,3
1,1,4,2,1,2,1,0,38,38,2,0,0,10,0,0,0,1,1,10,4,1,1,1,0,0,10,0,10,0,10,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
1,1,0,1,4,4,1,0,18,18,15,0,0,0,0,0,0,4,4,0,9,1,4,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,1
1,1,0,2,1,1,1,1,57,147,0,0,9,10,0,0,0,3,12,0,13,0,3,12,0.25,0,0,0,0,10,0,0,0,0,2,0,0,0,12,12,0,10,0,0,0,0,0,12,1,0,2
8,7.285714,11,13,20,1,12,0.866667,306,321,0,0,1,5,0,0,0,6,7,0,38,0.2,48,51,0.75,0,0,0,0,5,0,0,0,0,1,3,2,1,4,4,0,0,0,5,1,0,2,4,5,1,3
2.222222,2.222222,1,3,2,1,4,0.825,200,200,0,0,0,5,2,0,0,9,9,0,13,1,20,20,1,0,2,0,2,3,2,0,0,0,1,0,0,0,9,7,2,0,0,5,3,0,0,6,8,2,1
7,6.144444,91,52,118,1,47,0.948262,3175,3392,0,0,13,59,4,0,0,77,90,7,260,0.416425,539,553,0.648148,0,14,2,12,45,12,0,0,0,1,0,0,0,90,89,1,0,0,52,43,0,0,47,76,1,4
4.421875,3.682927,90,48,96,1,39,0.905783,1678,1817,0,0,18,19,0,0,1,64,82,0,249,0.41396,283,302,0.735294,0,0,0,0,19,0,0,0,0,1,0,0,0,82,82,0,0,0,19,13,0,1,68,63,0,4
1,1,0,2,1,1,1,0.666667,17,17,0,0,0,1,0,0,1,4,4,0,5,0.333333,4,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4,4,0,0,0,1,0,0,0,4,3,0,1
1,1,0,0,0,1,0,1,20,45,0,0,3,10,0,0,0,1,4,7,4,0,1,4,0.090909,0,7,0,7,3,7,0,0,0,1,0,0,0,4,4,0,0,0,3,0,0,0,4,0,0,2
1.333333,1.333333,0,5,2,2,2,0,29,29,7,0,0,0,0,0,0,3,3,0,15,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,1
1,1,0,0,0,4,0,0,18,18,15,0,0,0,0,0,0,4,4,0,4,1,4,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,1
6.243902,5.92,0,5,26,1,10,0.980867,3405,3600,0,0,9,96,6,0,3,41,50,19,80,0.272895,256,296,0.395349,0,55,8,47,41,47,0,0,1,0,5,3,2,46,41,5,0,2,15,3,62,21,25,41,7,3
15.888889,15.888889,61,9,36,1,9,0.882353,1097,1097,0,0,0,2,0,0,1,18,18,0,61,0.269231,286,286,1,0,2,2,0,0,0,0,0,1,0,0,0,0,19,19,0,0,0,2,5,0,12,2,18,0,3
1,1,0,0,0,1,0,0.8,64,112,0,1,7,6,0,0,2,4,11,0,11,0.361111,4,11,0.3,1,0,0,0,6,0,0,0,0,2,0,0,0,11,11,0,0,1,0,0,6,0,10,2,0,2
5.605263,4.829787,19,10,30,1,11,0.949275,1264,1342,0,0,9,48,3,0,2,38,47,1,77,0.49359,213,227,0.709677,0,24,5,19,24,19,0,0,1,0,7,5,2,41,41,0,0,1,13,7,34,9,31,38,2,3
1,1,0,5,1,3,1,1,15,15,32,0,0,1,0,0,0,2,2,1,51,1,2,2,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,2,0,1
8.928571,8.176471,22,28,70,3,25,0.947917,933,1040,33,2,3,6,2,0,0,14,17,0,140,0.194444,125,139,1,0,5,0,5,1,5,0,0,0,1,0,0,0,17,16,1,1,0,5,7,0,8,2,13,1,3
1,1,0,1,4,1,1,1,11,41,0,0,6,6,0,0,1,1,7,0,11,0,1,7,0,1,6,6,0,0,0,0,0,0,1,0,0,0,7,7,0,0,1,6,0,0,0,6,0,0,2
2,2,0,5,1,2,1,0,8,8,6,0,0,0,0,0,0,1,1,0,10,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1,0,1
3.960784,2.504762,14,38,49,2,27,0.993047,1339,1950,0,0,54,65,0,7,0,51,105,24,154,0.04601,202,263,0,0,24,0,24,40,25,1,0,0,2,0,0,0,105,89,16,1,0,6,1,34,2,102,49,16,3
3.051282,2.869565,14,40,80,5,30,0.959259,997,1091,98,16,7,6,0,0,0,39,46,0,217,0.415385,119,132,0.885714,0,1,0,1,5,1,0,0,0,2,0,0,0,46,45,1,0,0,5,4,1,7,35,37,1,3
23.857143,23.857143,17,2,14,1,2,0.833333,1217,1217,0,0,0,1,0,0,0,7,7,0,38,0.3,167,167,1,0,1,0,1,0,1,0,0,0,0,0,0,0,7,0,7,0,0,1,2,0,0,5,7,7,3
1,1,0,3,1,2,1,0,33,33,29,0,0,21,0,0,0,1,1,21,42,1,1,1,0.045455,0,21,0,21,0,21,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
1,1,0,0,0,1,0,0.9,2,52,0,0,10,5,0,0,0,1,11,0,11,0.111111,1,11,0.090909,0,0,0,0,5,0,0,0,0,1,0,0,0,11,11,0,0,0,5,0,0,0,11,0,0,2
1,1,4,2,1,2,1,0,43,43,2,0,0,9,0,0,0,1,1,9,4,1,1,1,0,0,9,0,9,0,9,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
4.235294,3.704918,25,21,43,1,15,0.960606,1544,1606,0,0,10,22,1,1,1,51,61,0,110,0.235028,216,226,0.782609,0,15,14,1,7,1,0,0,0,1,0,0,0,61,61,0,9,15,8,0,5,0,46,50,0,4
1,1,0,0,0,2,0,0.833333,24,57,15,0,5,4,0,0,0,2,7,4,22,0.4,2,7,0.181818,1,0,0,0,4,0,0,0,0,2,0,0,0,7,7,0,0,0,0,0,0,0,7,0,0,2
1,1,0,0,0,2,0,0.714286,23,64,15,0,6,4,0,0,0,2,8,4,23,0.6,2,8,0.166667,1,0,0,0,4,0,0,0,0,2,0,0,0,8,8,0,0,0,0,0,0,0,8,0,0,2
11.235294,10.888889,39,45,97,2,47,0.914439,2143,2165,3,3,1,44,17,0,4,17,18,0,133,0.192308,191,196,1,0,16,4,12,28,12,0,0,0,1,0,0,0,18,17,1,7,0,37,4,0,0,14,16,1,4
2.142857,2.142857,0,0,0,1,0,0.846154,255,255,0,0,0,6,0,0,2,14,14,0,14,0.464286,30,30,1,0,0,0,0,6,0,0,0,0,2,0,0,0,14,14,0,0,0,6,4,0,0,10,12,0,1
1,1,0,2,4,4,4,1,57,61,23,3,1,1,2,0,0,4,5,0,9,0,4,5,0.75,0,0,0,0,0,1,1,0,0,1,1,1,0,4,3,1,0,0,1,1,0,0,4,3,1,1
1,1,0,0,0,2,0,0.857143,5,17,4,4,4,4,0,0,0,4,8,0,8,0.142857,4,8,0.5,0,0,0,0,4,0,0,0,1,0,0,0,0,9,9,0,0,0,4,0,0,0,9,4,0,2
2.84127,2.705882,36,33,103,6,62,0.992743,1826,1867,531,0,5,109,35,0,0,63,68,38,197,0.219373,179,184,0.348485,0,42,0,42,61,48,6,0,0,1,0,0,0,68,46,22,1,0,70,40,0,0,28,62,22,3
1,1,0,0,0,1,0,0.5,14,22,0,1,1,1,0,0,0,2,3,0,3,1,2,3,0.666667,0,0,0,0,1,0,0,0,0,1,0,0,0,3,3,0,0,0,1,0,0,0,3,1,0,1
2,2,0,0,0,1,0,0,8,8,0,0,0,0,0,0,1,1,1,0,1,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1,0,1
11.893939,11.893939,0,1,0,2,0,0.996923,1917,1917,51,0,0,5,0,0,2,66,66,5,66,0.007519,785,785,0.919355,0,5,0,5,0,5,0,0,0,4,61,56,5,5,5,0,0,0,0,5,0,4,57,62,5,3
3.5,1.724138,5,22,16,4,10,0.96131,322,533,41,2,21,24,0,0,1,8,29,0,110,0.259259,28,50,0.16,0,2,0,2,22,2,0,0,0,1,0,0,0,29,29,0,0,0,19,0,5,4,25,7,0,1
3.114583,2.854701,27,25,70,1,21,0.968032,2424,2711,0,0,21,24,2,1,0,96,117,4,208,0.409842,299,334,0.757576,0,7,3,4,17,4,0,0,0,2,0,0,0,117,117,0,0,0,17,5,3,17,95,94,0,4
2.680556,2.680556,12,55,67,1,53,0.970951,1550,1550,0,0,0,33,0,0,0,72,72,11,144,0.154327,193,193,0.847222,0,5,0,5,0,33,28,0,0,0,2,0,2,70,0,70,0,4,22,7,0,0,61,72,72,3
1,1,0,2,0,1,1,1,83,120,0,0,3,19,0,0,0,2,5,16,6,0,2,5,0.095238,0,16,0,16,3,16,0,0,0,2,0,0,0,5,5,0,0,0,3,0,0,0,5,0,0,2
6.928571,5.230769,10,6,13,1,4,0.941176,953,1184,0,0,12,17,2,0,1,14,26,0,44,0.286765,97,136,0.266667,0,0,0,0,16,1,1,0,0,1,0,0,0,26,26,0,0,0,1,8,16,3,15,13,0,3
1,1,0,0,0,1,0,0.875,11,75,0,0,8,4,0,0,0,1,9,0,9,0.142857,1,9,0.111111,1,0,0,0,4,0,0,0,0,1,0,0,0,9,9,0,0,0,0,0,4,0,9,0,0,2
1,1,0,0,0,1,0,0.947712,43,179,0,0,17,9,0,0,0,1,18,0,18,0.058824,1,18,0.055556,0,0,0,0,9,0,0,0,0,1,0,0,0,18,18,0,0,0,0,0,9,0,18,0,0,2
2.5,2.5,0,10,4,2,4,0.6,166,166,14,1,0,5,1,0,0,4,4,0,34,0.5,10,10,1,0,1,0,1,4,1,0,0,0,0,0,0,0,4,4,0,0,0,5,0,0,2,2,4,0,1
3.194915,2.770701,43,31,181,1,69,0.989645,3392,3877,0,0,39,39,46,2,2,118,157,0,366,0.24011,377,435,0,0,6,1,5,32,6,1,2,0,0,0,0,0,155,157,0,0,0,22,4,17,62,91,118,0,4
1,1,1,2,0,1,1,0.833333,16,22,0,0,1,3,0,0,0,2,3,0,4,1,2,3,0.666667,1,0,0,0,3,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,3,0,3,1,0,1
6.360656,6.290323,33,29,48,2,22,0.980993,2937,2958,15,0,1,69,1,0,0,61,62,10,136,0.333333,388,390,0.375,0,32,0,32,35,34,2,0,0,1,1,0,1,61,54,7,2,0,43,52,14,4,6,60,8,4
3.384615,3.325,14,20,46,1,17,0.959936,1234,1243,0,0,1,16,1,0,0,39,40,2,94,0.239683,132,133,0.921053,0,6,0,6,0,16,10,0,0,1,9,0,9,31,2,29,0,0,14,4,0,0,36,38,38,3
1,1,0,2,0,1,0,0,8,8,0,0,0,3,0,0,0,1,1,3,1,1,1,1,0.25,1,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
1,1,0,1,0,1,0,0.9,27,27,0,0,10,5,0,0,0,1,11,0,11,0.111111,1,11,0.090909,1,0,0,0,5,0,0,0,0,1,0,0,0,11,11,0,0,0,5,0,0,0,11,0,0,2
1,1,0,0,0,1,0,0.777778,26,74,0,0,8,4,0,0,0,2,10,0,10,0.333333,2,10,0.2,0,0,0,0,4,0,0,0,0,1,0,0,0,10,10,0,0,0,4,0,0,0,10,1,0,2
1,1,1,4,4,1,3,0.71875,38,94,0,0,5,4,0,0,0,4,9,0,13,0.642857,4,9,0.375,0,0,0,0,4,0,0,0,0,1,1,1,0,8,8,0,1,1,3,0,0,0,8,3,0,2
0,1,0,1,0,1,0,0.8,1,52,0,0,6,3,0,0,0,0,6,0,6,0.2,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,6,0,0,0,3,0,0,0,6,0,0,2
1.5,1.166667,0,0,0,1,0,0.9,18,38,0,1,4,4,0,0,1,2,6,3,6,0.2,3,7,0.125,0,4,4,0,0,0,0,0,0,1,0,0,0,6,6,0,1,1,0,0,0,0,5,1,0,2
1.25,1.111111,0,0,0,1,0,0.9375,67,117,0,1,5,6,0,0,0,4,9,3,9,0.142857,5,10,0.333333,1,0,0,0,6,0,0,0,0,2,0,0,0,9,9,0,0,0,3,0,0,0,9,2,0,2
1.6,1.7,1,4,5,5,4,1,169,227,698,0,5,17,1,0,0,5,10,0,15,0.111111,8,17,0.5,0,1,0,1,16,1,0,0,0,1,0,0,0,10,10,0,0,0,1,0,16,2,8,4,0,1
2.193548,2.121212,29,23,46,6,28,0.94184,1015,1043,531,0,2,36,9,0,1,31,33,0,104,0.3,68,70,1,0,0,0,0,36,0,0,0,0,1,0,0,0,33,33,0,36,0,0,27,0,2,4,30,0,4
0,1,0,0,0,1,0,0.952381,6,70,0,0,8,6,0,0,0,0,8,2,8,0.142857,0,8,0,0,2,0,2,4,2,0,0,1,0,0,0,0,9,9,0,0,0,4,0,0,0,9,0,0,2
0,1,0,0,0,1,0,0.972222,9,89,0,0,10,8,0,0,0,0,10,3,10,0.111111,0,10,0,0,3,0,3,5,3,0,0,1,0,0,0,0,11,11,0,0,0,5,0,0,0,11,0,0,2
2,2,0,0,11,1,10,0,196,196,0,0,0,0,10,0,0,4,4,0,15,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,2,4,4,1
1,1,0,2,2,1,1,0.5,26,26,0,0,0,3,0,0,0,2,2,0,4,1,2,2,1,1,0,0,0,3,0,0,0,0,1,0,0,0,2,2,0,3,1,0,0,0,0,1,1,0,1
0,1,0,1,0,1,0,0.984991,204,204,0,0,42,26,0,0,0,0,42,5,42,0.02439,0,42,0,0,5,0,5,21,5,0,0,1,0,0,0,0,43,43,0,0,0,21,0,0,0,43,0,0,2
1,1,0,1,0,1,0,1,14,34,0,0,4,7,0,0,0,1,5,3,5,0,1,5,0.125,0,0,0,0,4,3,3,0,0,1,0,0,0,5,5,0,4,0,0,0,0,0,5,0,0,2
0,1,0,0,0,1,0,0.923077,59,59,0,0,14,7,0,0,0,0,14,0,14,0.076923,0,14,0,0,0,0,0,7,0,0,0,0,0,0,0,0,14,14,0,0,0,7,0,0,0,14,0,0,2
1,1,0,0,0,1,0,1,12,47,0,0,7,7,0,0,0,1,8,0,8,0,1,8,0.125,0,0,0,0,7,0,0,0,0,1,0,0,0,8,8,0,0,0,7,0,0,0,8,0,0,2
1,1,0,1,0,1,0,0.892857,3,38,0,0,7,4,0,0,0,1,8,0,8,0.142857,1,8,0,0,0,0,0,4,0,0,0,0,1,0,0,0,8,8,0,0,8,4,0,0,0,0,0,0,2
1,1,0,1,0,1,0,0.911111,2,47,0,0,9,5,0,0,0,1,10,0,10,0.111111,1,10,0,0,0,0,0,5,0,0,0,0,1,0,0,0,10,10,0,0,10,5,0,0,0,0,0,0,2
1,1,1,2,0,1,0,0.924242,1,56,0,0,11,6,0,0,0,1,12,0,12,0.090909,1,12,0,0,0,0,0,6,0,0,0,0,1,0,0,0,12,12,0,0,12,6,0,0,0,0,0,0,2
1,1,2,2,0,1,0,0.934066,0,65,0,0,13,7,0,0,0,1,14,0,14,0.076923,1,14,0,0,0,0,0,7,0,0,0,0,1,0,0,0,14,14,0,0,14,7,0,0,0,0,0,0,2
1,1,1,3,1,2,1,0.833333,3,33,17,0,6,3,0,0,0,1,7,0,25,0.2,1,7,0,0,0,0,0,3,0,0,0,0,1,0,0,0,7,7,0,0,7,3,0,0,0,0,0,0,2
2.782609,2.76,0,2,3,2,3,0.970238,576,596,13,3,2,7,3,0,0,23,25,4,43,0.181159,64,69,0.454545,0,4,0,4,3,4,0,0,0,1,0,0,0,25,25,0,1,0,0,0,2,18,7,22,0,1
1.75,1.75,0,0,0,1,0,0.333333,26,26,0,2,0,1,0,0,0,4,4,0,4,1,7,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4,4,0,1,0,0,0,0,0,4,3,0,1
1,1.266667,0,3,1,2,1,1,155,263,0,0,7,13,0,3,3,8,15,0,16,0.032967,8,19,0,0,0,0,0,8,5,5,2,0,1,0,0,0,13,15,0,5,0,0,0,8,0,15,7,0,1
1,1,1,5,3,2,3,0.6,24,36,4,0,4,2,0,0,0,2,6,0,13,0.6,2,6,0.2,0,0,0,0,2,0,0,0,0,1,0,0,0,6,6,0,0,0,0,0,2,1,5,1,0,2
1,1,0,0,0,1,0,0.980519,3,115,0,0,14,11,0,0,0,1,15,4,15,0.076923,1,15,0.052632,0,4,0,4,7,4,0,0,0,1,0,0,0,15,15,0,0,0,7,0,0,0,15,0,0,2
5.2,3.444444,0,0,0,1,0,0.953571,161,177,0,1,4,35,0,0,0,5,9,14,9,0.535714,26,31,0.217391,0,19,0,19,14,21,2,0,0,1,0,0,0,9,8,1,0,0,2,0,19,0,9,4,1,1
6.857143,6.857143,13,6,8,1,6,1,301,301,0,0,0,6,2,0,1,7,7,0,23,0,48,48,1,0,0,0,0,6,0,0,0,0,1,0,0,0,7,7,0,6,0,0,3,0,0,4,6,0,3
1,1,0,0,0,3,0,0,8,8,15,0,0,0,0,0,0,2,2,0,2,1,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,1
2,2,0,0,0,2,0,0,12,12,2,0,0,0,0,0,0,2,2,0,2,0,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,3,2,0,1
3.5,1.625,7,5,9,1,3,0.885714,64,100,0,0,6,5,0,0,0,2,8,0,19,0.380952,7,13,0.25,0,0,0,0,5,0,0,0,0,1,0,0,0,8,8,0,0,0,2,0,3,0,8,1,0,2
1,1,0,0,0,1,0,0,69,69,0,0,0,17,0,0,0,1,1,17,1,1,1,1,0,0,17,0,17,0,17,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
1,1,0,0,0,1,0,0,79,79,0,0,0,42,0,0,0,1,1,42,1,1,1,1,0,0,42,0,42,0,42,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
2,2,1,1,0,1,0,0,10,10,0,0,0,0,0,0,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,1,1,0,1
2,2,0,0,0,1,0,0,9,9,0,0,0,0,0,0,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,1,1,0,1
1,1,0,0,0,1,0,0.85,23,23,0,0,10,4,0,0,0,1,11,4,11,0.177778,1,11,0.066667,1,0,0,0,4,0,0,0,0,1,0,0,0,11,11,0,0,0,0,0,0,0,11,0,0,2
1,1,0,1,0,1,0,0,16,16,0,1,0,11,0,0,1,1,1,11,1,1,1,1,0.083333,0,0,0,0,11,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1,0,1
3,3,1,12,3,3,3,0,19,19,15,1,0,1,0,3,0,1,1,0,19,1,3,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1
1,1,0,2,1,2,1,0.84375,30,86,8,1,7,4,0,0,0,2,9,0,18,0.166667,2,9,0.222222,0,0,0,0,4,0,0,0,0,0,0,0,0,9,9,0,0,0,4,0,0,0,9,2,0,2
1,1,3,2,1,2,1,0,29,29,2,0,0,8,0,0,0,1,1,8,4,1,1,1,0,0,8,0,8,0,8,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
1.5,1.5,0,0,0,3,0,1,21,21,63,0,0,1,0,0,0,2,2,0,2,1,3,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,0,1,1,1,0,1
1,1,0,0,0,1,0,0,41,41,0,0,0,7,2,0,0,1,1,7,1,1,1,1,0,0,7,0,7,0,7,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
5.978261,5.978261,18,24,48,1,20,0.944444,1837,1837,0,0,0,4,0,0,1,46,46,0,102,0.318182,275,275,1,0,1,0,1,3,1,0,0,0,1,0,0,0,46,43,3,0,0,4,33,0,0,13,45,3,3
4,4,2,2,2,6,2,1,66,66,574,0,0,2,0,0,0,2,2,0,6,1,8,8,1,1,0,0,0,2,0,0,0,0,1,0,0,0,2,2,0,0,0,2,0,0,0,2,1,0,1
1,1.304348,0,0,0,1,0,0.978788,41,149,0,0,16,16,0,0,0,7,23,0,23,0.051948,7,30,0,1,6,1,5,10,5,0,0,0,1,0,0,0,23,23,0,5,23,11,0,0,0,0,6,0,2
1,1,0,1,0,1,0,0,5,5,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,1,1,0,1
2.333333,2.333333,1,1,0,1,0,0,29,29,0,0,0,0,0,0,1,3,3,0,3,0,7,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,0,0,1,0,0,0,0,3,3,0,1
1,1,0,0,0,1,0,0.833333,65,83,0,0,6,3,3,0,0,1,7,0,7,0.2,1,7,0.142857,0,0,0,0,3,0,0,0,0,1,0,0,0,7,7,0,0,0,3,0,0,0,7,0,0,2
0,1,0,0,0,1,0,0.857143,18,18,0,0,8,4,0,0,0,0,8,0,8,0.142857,0,8,0,1,0,0,0,4,0,0,0,0,0,0,0,0,8,8,0,0,0,4,0,0,0,8,0,0,2
1,1,0,0,0,1,0,0.916667,30,30,0,0,12,6,0,0,0,1,13,0,13,0.090909,1,13,0.076923,1,0,0,0,6,0,0,0,0,1,0,0,0,13,13,0,0,0,6,0,0,0,13,0,0,2
1,1,0,0,0,1,0,0.75,3,15,0,0,4,2,0,0,0,1,5,0,5,0.333333,1,5,0.2,0,0,0,0,2,0,0,0,0,1,0,0,0,5,5,0,0,0,0,0,2,0,5,0,0,2
1,1,2,9,4,6,2,0.166667,38,48,44,1,1,1,0,0,1,6,7,0,19,1,6,7,0.75,0,0,0,0,1,0,0,0,0,1,0,0,0,7,7,0,0,0,1,0,0,3,4,5,0,1
0,1,0,0,0,1,0,0.923077,68,68,0,0,14,7,0,0,0,0,14,0,14,0.076923,0,14,0,0,0,0,0,7,0,0,0,1,0,0,0,0,15,15,0,0,0,7,0,0,0,15,0,0,2
13.222222,13.222222,39,21,20,2,11,0.894958,1172,1172,20,0,0,14,0,0,0,18,18,0,71,0.461538,238,238,1,0,3,0,3,0,14,11,0,0,0,0,0,0,18,0,18,5,12,9,5,0,0,1,18,18,4
8.081395,8.081395,332,108,193,5,50,0.968627,4973,4973,220,1,0,3,0,1,0,86,86,0,755,0.005445,695,695,0,0,3,0,3,0,3,0,0,0,1,0,0,0,86,84,2,3,59,0,27,0,0,0,85,2,3
14.636364,14.636364,89,77,90,3,30,0,1147,1147,183,0,0,0,0,1,0,11,11,0,427,0,161,161,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,10,1,0,9,0,2,0,0,0,10,1,3
2.166667,2.166667,0,0,0,3,0,0.6,50,50,14,1,0,3,0,1,0,6,6,0,6,1,13,13,1,0,0,0,0,3,0,0,0,0,5,0,0,0,6,6,0,3,0,0,0,0,0,6,1,0,1
3.184211,3.184211,19,99,55,2,22,0.922604,1241,1241,114,2,0,22,1,0,2,38,38,3,212,0.458498,121,121,0.892857,0,13,7,6,9,6,0,0,0,4,0,0,0,38,38,0,0,0,19,13,0,0,25,34,0,4
7.117647,5.171053,163,65,227,2,60,0.961088,2147,2345,35,10,25,49,4,0,0,51,76,0,420,0.405045,363,393,0.722222,0,2,0,2,47,2,0,0,0,1,0,0,0,76,76,0,3,47,1,0,45,11,18,50,0,4
5.858333,5.338129,169,39,133,1,35,0.977158,3336,3585,0,0,19,46,1,1,1,120,139,1,302,0.468492,703,742,0.833333,0,3,0,3,42,4,1,0,0,12,1,1,0,138,114,24,4,8,13,9,28,21,101,108,24,4
7.282609,5.8125,126,93,178,3,50,0.955267,1395,1635,154,17,18,22,1,0,0,46,64,0,555,0.330216,335,372,0.444444,0,0,0,0,22,0,0,0,0,1,0,0,0,64,62,2,7,38,1,4,14,4,18,45,2,4
2,1.25,4,13,4,3,3,0,21,85,43,0,6,0,0,0,0,2,8,0,58,0,4,10,0.25,0,0,0,0,0,0,0,0,0,2,0,0,0,8,8,0,0,0,0,0,0,0,8,0,0,1
9.45,8.347826,71,21,51,1,16,0.827273,1030,1054,0,0,3,16,0,0,0,20,23,1,86,0.490909,189,192,0.6,0,0,0,0,16,0,0,0,0,1,0,0,0,23,23,0,0,3,15,11,0,0,9,19,0,4
1,1,12,1,0,1,0,0,110,110,0,0,0,33,0,0,0,1,1,33,1,1,1,1,0,0,33,0,33,0,33,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
1,1,0,3,2,1,2,0,29,29,0,0,0,4,0,0,1,4,4,0,6,1,4,4,1,0,0,0,0,4,0,0,0,0,1,0,0,0,4,4,0,0,0,4,1,0,0,3,3,0,1
1,1,15,9,3,1,3,0.971795,330,330,0,0,39,20,0,0,0,1,40,0,58,0.087179,1,40,0.025,0,0,0,0,19,1,1,0,1,0,0,0,0,41,41,0,0,0,20,0,0,0,41,1,0,2
2.805755,2.482587,58,59,135,3,48,0.983611,2855,3652,73,5,62,54,8,1,1,139,201,5,470,0.106476,390,499,0.651042,0,21,11,10,33,10,0,0,0,5,11,11,0,190,188,2,0,0,10,5,39,9,187,134,2,4
4.451613,4.451613,6,27,47,1,23,0.811111,1142,1142,0,0,0,9,2,0,1,31,31,0,82,0.405797,138,138,1,0,7,4,3,2,3,0,0,0,1,0,0,0,31,31,0,1,1,8,6,0,0,24,30,0,3
